pdf_name,gemini-2.5-flash,pdfplumber,pymupdf
1810.04805v2_tables&figures,9822,8830,9215
2606.12848v1_Multicolumn,15771,11869,13297
DOC3621-190_PrimosSubrRef_19.4_Apr85_ImageOnly,5103,0,0
FAO_EMSTOT_Worldbankdata_Greenhouse_Data tables,5618,10572,5630
Lecture_imageOnly,1410,0,0
Liberty Bell - Wikipedia_Clean_baseline,12779,12240,12249
_10-K-Q4-2023-As-Filed_FinancialTables,9359,5162,5677
fw2_Scanned_govt_Form,5521,5494,5578
